canonical_drug_id,pred_ic50_mean,pred_ic50_std,pred_ic50_min,pred_ic50_max,y_true_mean,n_cell_lines,drug_name_norm,DRUG_NAME,TARGET,TARGET_PATHWAY,rank
1811,-3.8779856184962926,0.6122776182796288,-4.794112793122428,-2.141869298587387,-2.3932862,35,dactinomycin,Dactinomycin,RNA polymerase,Other,1
1080,-1.9727778834003953,0.994570164263114,-3.2422048048780447,0.8233452778663641,-2.260472,34,paclitaxel,Paclitaxel,Microtubule stabiliser,Mitosis,2
1004,-1.8813015295928301,0.8877903561946269,-2.9721251431633426,0.43962402092068464,-2.883335,32,vinblastine,Vinblastine,Microtubule destabiliser,Mitosis,3
2048,-1.6594675574451558,0.8887211268890233,-2.7013098666115463,1.06243229498815,-2.8993995,34,vinorelbine,Vinorelbine,Microtubule destabiliser,Mitosis,4
1007,-1.3270215996310566,0.9575443694301805,-2.6757079592681885,1.270446408688791,-3.7785606,35,docetaxel,Docetaxel,Microtubule stabiliser,Mitosis,5
1809,-1.1010943237644248,0.9092352016410447,-2.1926845645232595,1.515404746287297,1.8319936,35,teniposide,Teniposide,,DNA replication,6
1016,-0.9397781208459692,0.7418608798334463,-2.0084161137890555,0.9926970667275864,2.0678022,34,temsirolimus,Temsirolimus,MTOR,PI3K/MTOR signaling,7
1084,-0.7914829007194344,0.7248989367182039,-1.8774746689476705,1.1935458202936435,-1.4873266,33,rapamycin,Rapamycin,MTORC1,PI3K/MTOR signaling,8
1024,-0.7814684715852739,0.6189374168063226,-1.4909149862564322,1.1383406414206632,0.1444848,35,lestaurtinib,Lestaurtinib,"FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases",9
1014,-0.4660854717227367,0.6198914511230816,-1.2409042248964375,1.3409616542042948,0.4142785,35,refametinib,Refametinib,"MEK1, MEK2",ERK MAPK signaling,10
1003,-0.21781948596109188,0.7263120858746933,-1.0421588202773562,1.931103465783504,-1.4908013,35,camptothecin,Camptothecin,TOP1,DNA replication,11
1843,-0.15522413237990274,0.7861700010275823,-1.0717324052172483,2.0765737414648453,0.72543854,35,lmp744,LMP744,TOP1,DNA replication,12
1026,-0.05239946775214162,0.8361279499677489,-1.2587160791905667,1.9741304970459659,-0.6439113,35,tanespimycin,Tanespimycin,HSP90,Protein stability and degradation,13
1034,0.07245309329935559,0.6390760274414361,-0.6902701993548904,2.1395217749132875,-2.5252082,35,staurosporine,Staurosporine,Broad spectrum kinase inhibitor,RTK signaling,14
1593,0.13052593469174076,0.7374534458452942,-0.8004103994851886,2.34485698219987,2.440601,35,entinostat,Entinostat,"HDAC1, HDAC3",Chromatin histone acetylation,15
1372,0.669847320967591,0.6657980351325283,-0.0865022981169466,3.049077499191077,-2.4655933,35,trametinib,Trametinib,"MEK1, MEK2",ERK MAPK signaling,16
1039,0.7478836855357684,0.32392843455382536,0.3640306522807114,1.1094853329805923,5.450702,4,sl0101,SL0101,"RSK, AURKB, PIM1, PIM3","Other, kinases",17
1441,0.768872981781812,0.7557597307666619,-0.15759169040961585,3.2782888207372762,2.4243429,35,azd2014,AZD2014,"mTORC1, mTORC2",PI3K/MTOR signaling,18
2169,0.816394261630078,0.2891173576229351,0.5352720015635118,1.0728094745871872,4.1665077,4,azd6482,AZD6482,PI3Kbeta,PI3K/MTOR signaling,19
1849,0.8354776507710813,0.7554312245251446,-0.2358188820329059,3.3274175540324142,0.14181781,35,sabutoclax,Sabutoclax,"BCL2,  BCL-XL,  BFL1, MCL1",Apoptosis regulation,20
1037,0.8559387261861888,0.37879652455877066,0.41830082000753044,1.2995626171850456,2.7582548,4,bx795,BX795,"TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC","Other, kinases",21
1060,0.8571442273909325,0.5655194442644124,-0.0023381357889530087,2.7083756294101495,-0.9934592,35,pd0325901,PD0325901,"MEK1, MEK2",ERK MAPK signaling,22
1179,0.8597260762850008,0.7499909614783106,-0.06272302801471963,2.8236691497603528,0.4741708,35,mk1775,MK-1775,"WEE1, PLK1",Cell cycle,23
1088,1.071075002411201,0.8720221451415644,-0.1735170300590127,3.8072823915481653,3.7548714,35,irinotecan,Irinotecan,TOP1,DNA replication,24
1511,1.0863541617805168,0.8672503834599967,-0.3548036204085052,3.4249214779246806,-0.13304803,34,epirubicin,Epirubicin,Anthracycline,DNA replication,25
1191,1.1377483175206904,0.7375937811858937,0.21299747567063831,3.354501461005418,-4.4187737,34,bortezomib,Bortezomib,Proteasome,Protein stability and degradation,26
1808,1.1393122808035583,0.8842896628697595,-0.40836405139025783,3.639402749865355,1.2513804,35,topotecan,Topotecan,TOP1,DNA replication,27
1046,1.1433748860289075,0.7159289936426179,0.26883222586101596,3.228308726842775,2.543309,34,wee1inhibitor,Wee1 Inhibitor,"WEE1, CHEK1",Cell cycle,28
1149,1.1854721249103295,0.593766850912831,0.48471431714500524,2.4578912813357,1.1781949,18,tw37,TW 37,"BCL2, BCL-XL, MCL1",Apoptosis regulation,29
1011,1.2054507404443413,0.6375663950233561,0.26181402454406844,3.7653573579779853,1.4864339,35,navitoclax,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,30
1086,1.2901890483953662,0.7089822691123103,0.3413644518841032,3.47315979214882,-0.8226727,34,bi2536,BI-2536,"PLK1, PLK2, PLK3",Cell cycle,31
1941,1.3586333982702625,0.7054365640179553,0.42491287830557545,3.64285610486655,-3.023159,34,sepantroniumbromide,Sepantronium bromide,BIRC5,Apoptosis regulation,32
1926,1.3669730628161745,0.7507172887589902,0.5154992212173114,3.662906847869632,0.98734045,34,gne317,GNE-317,PI3Kalpha,PI3K/MTOR signaling,33
1091,1.373204835517091,0.7064235207488835,0.3270141825629864,3.7468218838772906,1.9792483,34,bms536924,BMS-536924,"IGF1R, IR",IGF1R signaling,34
