cluster,drug_rank,drug_name,canonical_drug_id,targets,admet_filter,hnsc_4tier,fit_score,rationale
1,6,Buparlisib,1873,"PI3KALPHA|PI3KBETA|PI3KDELTA|PI3KGAMMA PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma PI3K/MTOR signaling PIK3CA|PIK3CB|PIK3CD|PIK3CG",KEEP,Tier 3,0.55,TP53 mutated (50%); FAT1 mutated (25%) | PIK3CA-linked target evidence
1,8,Irinotecan,1088,TOP1 TOP1 DNA replication TOP1,KEEP,Tier 2,0.5,TP53 mutated (50%); FAT1 mutated (25%) | HNSC research or clinical evidence
1,22,SN-38,1494,TOP1 TOP1 DNA replication TOP1,KEEP,Tier 2,0.5,TP53 mutated (50%); FAT1 mutated (25%) | HNSC research or clinical evidence
1,1,Afatinib,1032,"EGFR|ERBB2 EGFR, ERBB2 EGFR signaling EGFR|ERBB2",KEEP,Tier 3,0.4,TP53 mutated (50%); FAT1 mutated (25%)
1,2,Camptothecin,1003,TOP1 TOP1 DNA replication TOP1,KEEP,Tier 4,0.4,TP53 mutated (50%); FAT1 mutated (25%)
1,3,Romidepsin,1817,"HDAC1|HDAC2|HDAC3|HDAC8 HDAC1, HDAC2, HDAC3, HDAC8 Chromatin histone acetylation HDAC1|HDAC2|HDAC3|HDAC8",KEEP,Tier 3,0.4,TP53 mutated (50%); FAT1 mutated (25%)
1,7,BI-2536,1086,"PLK1|PLK2|PLK3 PLK1, PLK2, PLK3 Cell cycle PLK1|PLK2|PLK3",KEEP,Tier 3,0.4,TP53 mutated (50%); FAT1 mutated (25%)
1,9,Trametinib,1372,"MEK1|MEK2 MEK1, MEK2 ERK MAPK signaling MAP2K1|MAP2K2",KEEP,Tier 3,0.4,TP53 mutated (50%); FAT1 mutated (25%)
1,12,Talazoparib,1259,"PARP1|PARP2 PARP1, PARP2 Genome integrity PARP1|PARP2",KEEP,Tier 3,0.4,TP53 mutated (50%); FAT1 mutated (25%)
1,13,Foretinib,2040,"EGFR|FGFR1|FLT4|KDR|MET|PDGFR|RON|TIE2|VEGFR3 MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR RTK signaling EGFR|FGFR1|FLT4|KDR|MET|PDGFR|RON|TIE2|VEGFR3",KEEP,Tier 3,0.4,TP53 mutated (50%); FAT1 mutated (25%)
1,15,Ribociclib,1632,"CDK4|CDK6 CDK4, CDK6 Cell cycle CDK4|CDK6",KEEP,Tier 3,0.4,TP53 mutated (50%); FAT1 mutated (25%)
1,16,MK-2206,1053,"AKT1|AKT2 AKT1, AKT2 PI3K/MTOR signaling AKT1|AKT2",KEEP,Tier 3,0.4,TP53 mutated (50%); FAT1 mutated (25%)
1,17,Elesclomol,1031,HSP90 HSP90 Protein stability and degradation HSP90AA1,KEEP,Tier 3,0.4,TP53 mutated (50%); FAT1 mutated (25%)
1,18,Entinostat,1593,"HDAC1|HDAC3 HDAC1, HDAC3 Chromatin histone acetylation HDAC1|HDAC3",KEEP,Tier 3,0.4,TP53 mutated (50%); FAT1 mutated (25%)
1,19,Lapatinib,1558,"EGFR|ERBB2 EGFR, ERBB2 EGFR signaling EGFR|ERBB2",KEEP,Tier 3,0.4,TP53 mutated (50%); FAT1 mutated (25%)
1,20,Alisertib,1051,AURKA AURKA Mitosis AURKA,KEEP,Tier 3,0.4,TP53 mutated (50%); FAT1 mutated (25%)
1,21,Palbociclib,1054,"CDK4|CDK6 CDK4, CDK6 Cell cycle CDK4|CDK6",KEEP,Tier 3,0.4,TP53 mutated (50%); FAT1 mutated (25%)
1,23,MG-132,1862,"CAPN1|PROTEASOME Proteasome, CAPN1 Protein stability and degradation CAPN1|PROTEASOME",KEEP,Tier 4,0.4,TP53 mutated (50%); FAT1 mutated (25%)
1,26,Uprosertib,1553,"AKT1|AKT2|AKT3 AKT1, AKT2, AKT3 PI3K/MTOR signaling AKT1|AKT2|AKT3",KEEP,Tier 3,0.4,TP53 mutated (50%); FAT1 mutated (25%)
1,30,Gefitinib,1010,EGFR EGFR EGFR signaling EGFR,KEEP,Tier 3,0.4,TP53 mutated (50%); FAT1 mutated (25%)
1,11,Paclitaxel,1080,MICROTUBULE STABILISER Microtubule stabiliser Mitosis MICROTUBULESTABILISER,EXCLUDE,Tier 1,0.3,TP53 mutated (50%); FAT1 mutated (25%) | current HNSC therapy benchmark
1,29,Methotrexate,1008,ANTIMETABOLITE Antimetabolite DNA replication ANTIMETABOLITE,EXCLUDE,Tier 1,0.3,TP53 mutated (50%); FAT1 mutated (25%) | current HNSC therapy benchmark
1,4,Temsirolimus,1016,MTOR MTOR PI3K/MTOR signaling MTOR,EXCLUDE,Tier 2,0.2,TP53 mutated (50%); FAT1 mutated (25%) | HNSC research or clinical evidence
1,5,Topotecan,1808,TOP1 TOP1 DNA replication TOP1,EXCLUDE,Tier 2,0.2,TP53 mutated (50%); FAT1 mutated (25%) | HNSC research or clinical evidence
1,10,Tanespimycin,1026,HSP90 HSP90 Protein stability and degradation HSP90AA1,EXCLUDE,Tier 2,0.2,TP53 mutated (50%); FAT1 mutated (25%) | HNSC research or clinical evidence
1,27,Epirubicin,1511,ANTHRACYCLINE Anthracycline DNA replication ANTHRACYCLINE,EXCLUDE,Tier 2,0.2,TP53 mutated (50%); FAT1 mutated (25%) | HNSC research or clinical evidence
1,14,TW 37,1149,"BCL-XL|BCL2|MCL1 BCL2, BCL-XL, MCL1 Apoptosis regulation BCL2|BCL2L1|MCL1",EXCLUDE,Tier 3,0.1,TP53 mutated (50%); FAT1 mutated (25%)
1,24,Bortezomib,1191,PROTEASOME Proteasome Protein stability and degradation PROTEASOME,EXCLUDE,Tier 3,0.1,TP53 mutated (50%); FAT1 mutated (25%)
1,25,Dasatinib,1079,"ABL|EPHRINS|KIT|PDGFR|SRC ABL, SRC, Ephrins, PDGFR, KIT Other, kinases ABL|EPHRINS|KIT|PDGFR|SRC",EXCLUDE,Tier 3,0.1,TP53 mutated (50%); FAT1 mutated (25%)
1,28,MK-1775,1179,"PLK1|WEE1 WEE1, PLK1 Cell cycle PLK1|WEE1",EXCLUDE,Tier 3,0.1,TP53 mutated (50%); FAT1 mutated (25%)
