admet_id,candidate_id,disease_id,drug_id,safety_score,verdict,admet_status,hard_fail,hard_fail_reasons,soft_flags,raw_json
admet_4efd01eeeeee22b0,cand_4efd01eeeeee22b0,BRCA,1814,33.285,PASS,PASS,0,,,"{""ames_value"": """", ""bioavailability_value"": """", ""caco2_value"": """", ""canonical_smiles"": ""COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O"", ""confidence_grade"": ""A"", ""confidence_priority"": ""0"", ""context_flag_count"": ""1"", ""context_flags"": ""Half_life_low"", ""cyp3a4_value"": ""0.0"", ""dili_value"": """", ""drug_id"": ""1814"", ""drug_level_score"": ""4.939345971377194"", ""drug_name"": ""Nelarabine"", ""ensemble_method"": ""directive_weighted_average"", ""final_admet_rank"": ""1"", ""half_life_value"": ""0.5"", ""hard_fail"": ""0"", ""hard_fail_reasons"": """", ""hba"": ""9"", ""hbd"": ""4"", ""herg_value"": """", ""lipinski_violations"": ""0"", ""logp"": ""-1.9713999999999994"", ""mw"": ""297.271"", ""n_analog"": ""3"", ""n_close_analog"": ""0"", ""n_exact"": ""4"", ""n_total_matches"": ""7"", ""pains_alerts"": ""0"", ""ppbr_value"": """", ""rank"": ""18"", ""rotatable_bonds"": ""3"", ""safety_score"": ""33.285"", ""selected_config"": ""A"", ""soft_flag_count"": ""0"", ""soft_flags"": """", ""tier"": ""3"", ""tier_name"": ""유방암 비사용 치료제"", ""tier_validation_goal"": ""타 적응증 치료제의 신규 repurposing 탐색"", ""tpsa"": ""148.76999999999998"", ""verdict"": ""PASS"", ""verdict_priority"": ""0""}"
admet_cf0cc26c331f4400,cand_cf0cc26c331f4400,BRCA,1507,30.776,PASS,PASS,0,,,"{""ames_value"": """", ""bioavailability_value"": """", ""caco2_value"": """", ""canonical_smiles"": ""N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1"", ""confidence_grade"": ""A"", ""confidence_priority"": ""0"", ""context_flag_count"": ""0"", ""context_flags"": """", ""cyp3a4_value"": """", ""dili_value"": """", ""drug_id"": ""1507"", ""drug_level_score"": ""5.074542883916546"", ""drug_name"": ""Ruxolitinib"", ""ensemble_method"": ""directive_weighted_average"", ""final_admet_rank"": ""2"", ""half_life_value"": """", ""hard_fail"": ""0"", ""hard_fail_reasons"": """", ""hba"": ""4"", ""hbd"": ""1"", ""herg_value"": """", ""lipinski_violations"": ""0"", ""logp"": ""3.466380000000001"", ""mw"": ""306.37300000000005"", ""n_analog"": ""0"", ""n_close_analog"": ""0"", ""n_exact"": ""2"", ""n_total_matches"": ""2"", ""pains_alerts"": ""0"", ""ppbr_value"": ""83.37"", ""rank"": ""16"", ""rotatable_bonds"": ""4"", ""safety_score"": ""30.776"", ""selected_config"": ""A"", ""soft_flag_count"": ""0"", ""soft_flags"": """", ""tier"": ""2"", ""tier_name"": ""유방암 적응증 확장 연구 치료제"", ""tier_validation_goal"": ""유방암 임상연구/적응증 확장 가능성 확인"", ""tpsa"": ""83.17999999999999"", ""verdict"": ""PASS"", ""verdict_priority"": ""0""}"
admet_5efda9cf1e51350f,cand_5efda9cf1e51350f,BRCA,1813,12.16,PASS,PASS,0,,,"{""ames_value"": """", ""bioavailability_value"": ""1.0"", ""caco2_value"": """", ""canonical_smiles"": ""Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O"", ""confidence_grade"": ""C"", ""confidence_priority"": ""2"", ""context_flag_count"": ""0"", ""context_flags"": """", ""cyp3a4_value"": ""0.0"", ""dili_value"": """", ""drug_id"": ""1813"", ""drug_level_score"": ""5.1769369815559525"", ""drug_name"": ""Fludarabine"", ""ensemble_method"": ""directive_weighted_average"", ""final_admet_rank"": ""3"", ""half_life_value"": ""11.0"", ""hard_fail"": ""0"", ""hard_fail_reasons"": """", ""hba"": ""8"", ""hbd"": ""4"", ""herg_value"": """", ""lipinski_violations"": ""0"", ""logp"": ""-1.8409000000000002"", ""mw"": ""285.235"", ""n_analog"": ""3"", ""n_close_analog"": ""0"", ""n_exact"": ""3"", ""n_total_matches"": ""6"", ""pains_alerts"": ""0"", ""ppbr_value"": """", ""rank"": ""10"", ""rotatable_bonds"": ""2"", ""safety_score"": ""12.16"", ""selected_config"": ""A"", ""soft_flag_count"": ""0"", ""soft_flags"": """", ""tier"": ""3"", ""tier_name"": ""유방암 비사용 치료제"", ""tier_validation_goal"": ""타 적응증 치료제의 신규 repurposing 탐색"", ""tpsa"": ""139.54000000000002"", ""verdict"": ""PASS"", ""verdict_priority"": ""0""}"
admet_06a62e7db7ec11fd,cand_06a62e7db7ec11fd,BRCA,1375,6.5760000000000005,PASS,PASS,0,,,"{""ames_value"": """", ""bioavailability_value"": ""1.0"", ""caco2_value"": """", ""canonical_smiles"": ""Cn1nnc2c(C(N)=O)ncn2c1=O"", ""confidence_grade"": ""B"", ""confidence_priority"": ""1"", ""context_flag_count"": ""0"", ""context_flags"": """", ""cyp3a4_value"": """", ""dili_value"": ""0.0"", ""drug_id"": ""1375"", ""drug_level_score"": ""6.201372027721784"", ""drug_name"": ""Temozolomide"", ""ensemble_method"": ""directive_weighted_average"", ""final_admet_rank"": ""4"", ""half_life_value"": ""1.5"", ""hard_fail"": ""0"", ""hard_fail_reasons"": """", ""hba"": ""5"", ""hbd"": ""1"", ""herg_value"": """", ""lipinski_violations"": ""0"", ""logp"": ""-2.078099999999999"", ""mw"": ""194.154"", ""n_analog"": ""0"", ""n_close_analog"": ""0"", ""n_exact"": ""5"", ""n_total_matches"": ""5"", ""pains_alerts"": ""0"", ""ppbr_value"": """", ""rank"": ""5"", ""rotatable_bonds"": ""1"", ""safety_score"": ""6.5760000000000005"", ""selected_config"": ""A"", ""soft_flag_count"": ""0"", ""soft_flags"": """", ""tier"": ""2"", ""tier_name"": ""유방암 적응증 확장 연구 치료제"", ""tier_validation_goal"": ""유방암 임상연구/적응증 확장 가능성 확인"", ""tpsa"": ""108.17000000000002"", ""verdict"": ""PASS"", ""verdict_priority"": ""0""}"
admet_7c56473c8c9f9c28,cand_7c56473c8c9f9c28,BRCA,1073,6.129,PASS,PASS,0,,,"{""ames_value"": """", ""bioavailability_value"": ""1.0"", ""caco2_value"": """", ""canonical_smiles"": ""FC1=CNC(=O)NC1=O"", ""confidence_grade"": ""C"", ""confidence_priority"": ""2"", ""context_flag_count"": ""1"", ""context_flags"": ""Half_life_low"", ""cyp3a4_value"": """", ""dili_value"": """", ""drug_id"": ""1073"", ""drug_level_score"": ""5.1282340258609125"", ""drug_name"": ""5-Fluorouracil"", ""ensemble_method"": ""directive_weighted_average"", ""final_admet_rank"": ""5"", ""half_life_value"": ""0.12"", ""hard_fail"": ""0"", ""hard_fail_reasons"": """", ""hba"": ""2"", ""hbd"": ""2"", ""herg_value"": """", ""lipinski_violations"": ""0"", ""logp"": ""-0.7977000000000001"", ""mw"": ""130.078"", ""n_analog"": ""0"", ""n_close_analog"": ""0"", ""n_exact"": ""7"", ""n_total_matches"": ""7"", ""pains_alerts"": ""0"", ""ppbr_value"": """", ""rank"": ""11"", ""rotatable_bonds"": ""0"", ""safety_score"": ""6.129"", ""selected_config"": ""A"", ""soft_flag_count"": ""0"", ""soft_flags"": """", ""tier"": ""1"", ""tier_name"": ""유방암 치료제"", ""tier_validation_goal"": ""유방암 치료 맥락의 positive control 확인"", ""tpsa"": ""65.72"", ""verdict"": ""PASS"", ""verdict_priority"": ""0""}"
admet_6b929b07d09c6d83,cand_6b929b07d09c6d83,BRCA,2498,6.0734763324,PASS,PASS,0,,,"{""ames_value"": ""0.0"", ""bioavailability_value"": """", ""caco2_value"": """", ""canonical_smiles"": ""OC(=O)CCCC[C@@H]1CCSS1"", ""confidence_grade"": ""B"", ""confidence_priority"": ""1"", ""context_flag_count"": ""0"", ""context_flags"": """", ""cyp3a4_value"": ""0.0"", ""dili_value"": """", ""drug_id"": ""2498"", ""drug_level_score"": ""6.37713898102255"", ""drug_name"": ""alpha-lipoic acid"", ""ensemble_method"": ""directive_weighted_average"", ""final_admet_rank"": ""6"", ""half_life_value"": """", ""hard_fail"": ""0"", ""hard_fail_reasons"": """", ""hba"": ""3"", ""hbd"": ""1"", ""herg_value"": """", ""lipinski_violations"": ""0"", ""logp"": ""2.7851000000000017"", ""mw"": ""206.332"", ""n_analog"": ""0"", ""n_close_analog"": ""0"", ""n_exact"": ""5"", ""n_total_matches"": ""5"", ""pains_alerts"": ""0"", ""ppbr_value"": """", ""rank"": ""4"", ""rotatable_bonds"": ""5"", ""safety_score"": ""6.0734763324"", ""selected_config"": ""A"", ""soft_flag_count"": ""0"", ""soft_flags"": """", ""tier"": ""4"", ""tier_name"": ""화합물 또는 미지 약물"", ""tier_validation_goal"": ""비승인 화합물/보충제/실험용 물질 분리"", ""tpsa"": ""37.3"", ""verdict"": ""PASS"", ""verdict_priority"": ""0""}"
admet_3bf81e974e3aa1a5,cand_3bf81e974e3aa1a5,BRCA,1449,43.506,WARNING,WARNING,0,,PPBR_high,"{""ames_value"": """", ""bioavailability_value"": """", ""caco2_value"": """", ""canonical_smiles"": ""NC1CCCN(c2c(/C=C3/SC(=O)NC3=O)cccc2-c2ccccc2)C1"", ""confidence_grade"": ""B"", ""confidence_priority"": ""1"", ""context_flag_count"": ""0"", ""context_flags"": """", ""cyp3a4_value"": """", ""dili_value"": """", ""drug_id"": ""1449"", ""drug_level_score"": ""4.846864699827835"", ""drug_name"": ""AZD1208"", ""ensemble_method"": ""directive_weighted_average"", ""final_admet_rank"": ""7"", ""half_life_value"": """", ""hard_fail"": ""0"", ""hard_fail_reasons"": """", ""hba"": ""5"", ""hbd"": ""2"", ""herg_value"": """", ""lipinski_violations"": ""0"", ""logp"": ""3.605000000000002"", ""mw"": ""379.4850000000001"", ""n_analog"": ""4"", ""n_close_analog"": ""0"", ""n_exact"": ""0"", ""n_total_matches"": ""4"", ""pains_alerts"": ""0"", ""ppbr_value"": ""97.76"", ""rank"": ""25"", ""rotatable_bonds"": ""3"", ""safety_score"": ""43.506"", ""selected_config"": ""A"", ""soft_flag_count"": ""1"", ""soft_flags"": ""PPBR_high"", ""tier"": ""4"", ""tier_name"": ""화합물 또는 미지 약물"", ""tier_validation_goal"": ""비승인 화합물/보충제/실험용 물질 분리"", ""tpsa"": ""75.43"", ""verdict"": ""WARNING"", ""verdict_priority"": ""1""}"
admet_8dc3238e221df3a3,cand_8dc3238e221df3a3,BRCA,1512,12.868999999999998,WARNING,WARNING,0,,Ames,"{""ames_value"": ""1.0"", ""bioavailability_value"": ""1.0"", ""caco2_value"": """", ""canonical_smiles"": ""O.O=P1(N(CCCl)CCCl)NCCCO1"", ""confidence_grade"": ""A"", ""confidence_priority"": ""0"", ""context_flag_count"": ""0"", ""context_flags"": """", ""cyp3a4_value"": """", ""dili_value"": """", ""drug_id"": ""1512"", ""drug_level_score"": ""4.882440830674113"", ""drug_name"": ""Cyclophosphamide"", ""ensemble_method"": ""directive_weighted_average"", ""final_admet_rank"": ""8"", ""half_life_value"": ""8.0"", ""hard_fail"": ""0"", ""hard_fail_reasons"": """", ""hba"": ""2"", ""hbd"": ""1"", ""herg_value"": """", ""lipinski_violations"": ""0"", ""logp"": ""1.0593"", ""mw"": ""279.10400000000004"", ""n_analog"": ""0"", ""n_close_analog"": ""8"", ""n_exact"": ""0"", ""n_total_matches"": ""8"", ""pains_alerts"": ""0"", ""ppbr_value"": ""14.23"", ""rank"": ""22"", ""rotatable_bonds"": ""5"", ""safety_score"": ""12.868999999999998"", ""selected_config"": ""A"", ""soft_flag_count"": ""1"", ""soft_flags"": ""Ames"", ""tier"": ""1"", ""tier_name"": ""유방암 치료제"", ""tier_validation_goal"": ""유방암 치료 맥락의 positive control 확인"", ""tpsa"": ""73.07000000000001"", ""verdict"": ""WARNING"", ""verdict_priority"": ""1""}"
admet_00642838f688c8c5,cand_00642838f688c8c5,BRCA,2499,7.259,WARNING,WARNING,0,,Ames,"{""ames_value"": ""1.0"", ""bioavailability_value"": ""0.0"", ""caco2_value"": """", ""canonical_smiles"": ""CC(=O)N[C@@H](CS)C(O)=O"", ""confidence_grade"": ""C"", ""confidence_priority"": ""2"", ""context_flag_count"": ""1"", ""context_flags"": ""Oral_bio_low"", ""cyp3a4_value"": """", ""dili_value"": """", ""drug_id"": ""2499"", ""drug_level_score"": ""7.848305785113417"", ""drug_name"": ""N-acetyl cysteine"", ""ensemble_method"": ""directive_weighted_average"", ""final_admet_rank"": ""9"", ""half_life_value"": ""5.5"", ""hard_fail"": ""0"", ""hard_fail_reasons"": """", ""hba"": ""3"", ""hbd"": ""3"", ""herg_value"": """", ""lipinski_violations"": ""0"", ""logp"": ""-0.4945"", ""mw"": ""163.198"", ""n_analog"": ""0"", ""n_close_analog"": ""0"", ""n_exact"": ""4"", ""n_total_matches"": ""4"", ""pains_alerts"": ""0"", ""ppbr_value"": """", ""rank"": ""2"", ""rotatable_bonds"": ""3"", ""safety_score"": ""7.259"", ""selected_config"": ""A"", ""soft_flag_count"": ""1"", ""soft_flags"": ""Ames"", ""tier"": ""4"", ""tier_name"": ""화합물 또는 미지 약물"", ""tier_validation_goal"": ""비승인 화합물/보충제/실험용 물질 분리"", ""tpsa"": ""66.4"", ""verdict"": ""WARNING"", ""verdict_priority"": ""1""}"
admet_be6cf02cd4214227,cand_be6cf02cd4214227,BRCA,1847,5.0,WARNING,WARNING,0,,,"{""ames_value"": ""0.0"", ""bioavailability_value"": """", ""caco2_value"": """", ""canonical_smiles"": ""C1=CC=C(C=C1)C(=N)N"", ""confidence_grade"": ""C"", ""confidence_priority"": ""2"", ""context_flag_count"": ""0"", ""context_flags"": """", ""cyp3a4_value"": ""0.0"", ""dili_value"": """", ""drug_id"": ""1847"", ""drug_level_score"": ""5.472948052631643"", ""drug_name"": ""BEN"", ""ensemble_method"": ""directive_weighted_average"", ""final_admet_rank"": ""10"", ""half_life_value"": """", ""hard_fail"": ""0"", ""hard_fail_reasons"": """", ""hba"": ""1"", ""hbd"": ""2"", ""herg_value"": """", ""lipinski_violations"": ""0"", ""logp"": ""0.9706699999999999"", ""mw"": ""120.15499999999999"", ""n_analog"": ""0"", ""n_close_analog"": ""0"", ""n_exact"": ""3"", ""n_total_matches"": ""3"", ""pains_alerts"": ""0"", ""ppbr_value"": """", ""rank"": ""8"", ""rotatable_bonds"": ""1"", ""safety_score"": ""5.0"", ""selected_config"": ""A"", ""soft_flag_count"": ""0"", ""soft_flags"": """", ""tier"": ""4"", ""tier_name"": ""화합물 또는 미지 약물"", ""tier_validation_goal"": ""비승인 화합물/보충제/실험용 물질 분리"", ""tpsa"": ""49.870000000000005"", ""verdict"": ""WARNING"", ""verdict_priority"": ""1""}"
admet_79ad4bcc02ccc7a5,cand_79ad4bcc02ccc7a5,BRCA,1089,5.0,WARNING,WARNING,0,,,"{""ames_value"": """", ""bioavailability_value"": """", ""caco2_value"": """", ""canonical_smiles"": ""[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1"", ""confidence_grade"": ""A"", ""confidence_priority"": ""0"", ""context_flag_count"": ""0"", ""context_flags"": """", ""cyp3a4_value"": """", ""dili_value"": """", ""drug_id"": ""1089"", ""drug_level_score"": ""5.356930068447554"", ""drug_name"": ""Oxaliplatin"", ""ensemble_method"": ""directive_weighted_average"", ""final_admet_rank"": ""11"", ""half_life_value"": """", ""hard_fail"": ""0"", ""hard_fail_reasons"": """", ""hba"": ""6"", ""hbd"": ""2"", ""herg_value"": """", ""lipinski_violations"": ""0"", ""logp"": ""-0.7861"", ""mw"": ""397.2880000000001"", ""n_analog"": ""0"", ""n_close_analog"": ""0"", ""n_exact"": ""0"", ""n_total_matches"": ""0"", ""pains_alerts"": ""0"", ""ppbr_value"": """", ""rank"": ""9"", ""rotatable_bonds"": ""2"", ""safety_score"": ""5.0"", ""selected_config"": ""A"", ""soft_flag_count"": ""0"", ""soft_flags"": """", ""tier"": ""2"", ""tier_name"": ""유방암 적응증 확장 연구 치료제"", ""tier_validation_goal"": ""유방암 임상연구/적응증 확장 가능성 확인"", ""tpsa"": ""86.80000000000001"", ""verdict"": ""WARNING"", ""verdict_priority"": ""1""}"
admet_12790250464e18dc,cand_12790250464e18dc,BRCA,2157,5.0,WARNING,WARNING,0,,,"{""ames_value"": """", ""bioavailability_value"": """", ""caco2_value"": """", ""canonical_smiles"": ""COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4"", ""confidence_grade"": ""A"", ""confidence_priority"": ""0"", ""context_flag_count"": ""0"", ""context_flags"": """", ""cyp3a4_value"": """", ""dili_value"": """", ""drug_id"": ""2157"", ""drug_level_score"": ""5.093175959102917"", ""drug_name"": ""A-366"", ""ensemble_method"": ""directive_weighted_average"", ""final_admet_rank"": ""12"", ""half_life_value"": """", ""hard_fail"": ""0"", ""hard_fail_reasons"": """", ""hba"": ""5"", ""hbd"": ""1"", ""herg_value"": """", ""lipinski_violations"": ""0"", ""logp"": ""2.983900000000001"", ""mw"": ""329.44400000000013"", ""n_analog"": ""0"", ""n_close_analog"": ""0"", ""n_exact"": ""0"", ""n_total_matches"": ""0"", ""pains_alerts"": ""0"", ""ppbr_value"": """", ""rank"": ""13"", ""rotatable_bonds"": ""6"", ""safety_score"": ""5.0"", ""selected_config"": ""A"", ""soft_flag_count"": ""0"", ""soft_flags"": """", ""tier"": ""4"", ""tier_name"": ""화합물 또는 미지 약물"", ""tier_validation_goal"": ""비승인 화합물/보충제/실험용 물질 분리"", ""tpsa"": ""60.080000000000005"", ""verdict"": ""WARNING"", ""verdict_priority"": ""1""}"
admet_2b054383f33a62c5,cand_2b054383f33a62c5,BRCA,1131,5.0,WARNING,WARNING,0,,,"{""ames_value"": """", ""bioavailability_value"": """", ""caco2_value"": """", ""canonical_smiles"": ""COCC1(CO)N2CCC(CC2)C1=O"", ""confidence_grade"": ""A"", ""confidence_priority"": ""0"", ""context_flag_count"": ""0"", ""context_flags"": """", ""cyp3a4_value"": """", ""dili_value"": """", ""drug_id"": ""1131"", ""drug_level_score"": ""4.896362151332794"", ""drug_name"": ""PRIMA-1MET"", ""ensemble_method"": ""directive_weighted_average"", ""final_admet_rank"": ""13"", ""half_life_value"": """", ""hard_fail"": ""0"", ""hard_fail_reasons"": """", ""hba"": ""4"", ""hbd"": ""1"", ""herg_value"": """", ""lipinski_violations"": ""0"", ""logp"": ""-0.3413999999999997"", ""mw"": ""199.24999999999997"", ""n_analog"": ""0"", ""n_close_analog"": ""0"", ""n_exact"": ""0"", ""n_total_matches"": ""0"", ""pains_alerts"": ""0"", ""ppbr_value"": """", ""rank"": ""21"", ""rotatable_bonds"": ""3"", ""safety_score"": ""5.0"", ""selected_config"": ""A"", ""soft_flag_count"": ""0"", ""soft_flags"": """", ""tier"": ""4"", ""tier_name"": ""화합물 또는 미지 약물"", ""tier_validation_goal"": ""비승인 화합물/보충제/실험용 물질 분리"", ""tpsa"": ""49.77"", ""verdict"": ""WARNING"", ""verdict_priority"": ""1""}"
admet_98c46e79f2264a42,cand_98c46e79f2264a42,BRCA,1621,5.0,WARNING,WARNING,0,,,"{""ames_value"": """", ""bioavailability_value"": """", ""caco2_value"": """", ""canonical_smiles"": ""COC1=CC=C(C=C1)CN2C=CC3=C2C=C(C=C3)C(=O)NO"", ""confidence_grade"": ""A"", ""confidence_priority"": ""0"", ""context_flag_count"": ""0"", ""context_flags"": """", ""cyp3a4_value"": """", ""dili_value"": """", ""drug_id"": ""1621"", ""drug_level_score"": ""4.860396613451996"", ""drug_name"": ""PCI-34051"", ""ensemble_method"": ""directive_weighted_average"", ""final_admet_rank"": ""14"", ""half_life_value"": """", ""hard_fail"": ""0"", ""hard_fail_reasons"": """", ""hba"": ""3"", ""hbd"": ""2"", ""herg_value"": """", ""lipinski_violations"": ""0"", ""logp"": ""2.8171999999999997"", ""mw"": ""296.32599999999996"", ""n_analog"": ""0"", ""n_close_analog"": ""0"", ""n_exact"": ""0"", ""n_total_matches"": ""0"", ""pains_alerts"": ""0"", ""ppbr_value"": """", ""rank"": ""24"", ""rotatable_bonds"": ""4"", ""safety_score"": ""5.0"", ""selected_config"": ""A"", ""soft_flag_count"": ""0"", ""soft_flags"": """", ""tier"": ""4"", ""tier_name"": ""화합물 또는 미지 약물"", ""tier_validation_goal"": ""비승인 화합물/보충제/실험용 물질 분리"", ""tpsa"": ""63.489999999999995"", ""verdict"": ""WARNING"", ""verdict_priority"": ""1""}"
admet_27703d4a799c7801,cand_27703d4a799c7801,BRCA,1629,5.0,WARNING,WARNING,0,,,"{""ames_value"": """", ""bioavailability_value"": """", ""caco2_value"": """", ""canonical_smiles"": ""CC1=CN=C(N=C1NCC2=CC=C(C=C2)N3C=CN=N3)C4=CC=CC=C4C(C)C"", ""confidence_grade"": ""A"", ""confidence_priority"": ""0"", ""context_flag_count"": ""0"", ""context_flags"": """", ""cyp3a4_value"": """", ""dili_value"": """", ""drug_id"": ""1629"", ""drug_level_score"": ""4.8134682066130585"", ""drug_name"": ""ML323"", ""ensemble_method"": ""directive_weighted_average"", ""final_admet_rank"": ""15"", ""half_life_value"": """", ""hard_fail"": ""0"", ""hard_fail_reasons"": """", ""hba"": ""5"", ""hbd"": ""1"", ""herg_value"": """", ""lipinski_violations"": ""0"", ""logp"": ""4.768220000000004"", ""mw"": ""384.48700000000014"", ""n_analog"": ""0"", ""n_close_analog"": ""0"", ""n_exact"": ""0"", ""n_total_matches"": ""0"", ""pains_alerts"": ""0"", ""ppbr_value"": """", ""rank"": ""28"", ""rotatable_bonds"": ""6"", ""safety_score"": ""5.0"", ""selected_config"": ""A"", ""soft_flag_count"": ""0"", ""soft_flags"": """", ""tier"": ""4"", ""tier_name"": ""화합물 또는 미지 약물"", ""tier_validation_goal"": ""비승인 화합물/보충제/실험용 물질 분리"", ""tpsa"": ""68.52000000000001"", ""verdict"": ""WARNING"", ""verdict_priority"": ""1""}"
admet_29c47a273d7fc85b,cand_29c47a273d7fc85b,Colon,1808,7.5,PASS,Candidate,,,,"{""DRUG_NAME"": ""Topotecan"", ""TARGET"": ""TOP1"", ""TARGET_PATHWAY"": ""DNA replication"", ""admet_category"": ""Candidate"", ""admet_coverage"": ""0.4545454545454545"", ""canonical_drug_id"": ""1808"", ""crc_clinical_tier"": ""2"", ""crc_clinical_tier_label_ko"": ""대장암 외 암종 승인, 대장암 적응증 확장·연구 중인 약물"", ""crc_tier_evidence_source"": ""ensemble:step6_tier_20260428_colon_v2"", ""drug_name"": ""Topotecan"", ""drug_name_norm"": ""topotecan"", ""hba"": ""7"", ""hbd"": ""2"", ""logp"": ""1.85"", ""mw"": ""421.45"", ""n_analog"": ""1"", ""n_cell_lines"": ""35"", ""n_close_analog"": ""3"", ""n_exact"": ""6"", ""n_total_matches"": ""10"", ""pains_alert"": ""True"", ""pred_ic50_max"": ""3.639402749865355"", ""pred_ic50_mean"": ""1.1393122808035585"", ""pred_ic50_mean_admet"": ""1.1393122808035585"", ""pred_ic50_min"": ""-0.4083640513902578"", ""pred_ic50_std"": ""0.8842896628697595"", ""rank"": ""27"", ""rank_20260428_colon_v2"": ""27"", ""rank_admet"": ""27"", ""rotatable_bonds"": ""3"", ""safety_score"": ""7.5"", ""smiles"": ""CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1"", ""step7_experiment_id"": ""colon_v2_step7_admet22assay_choi_protocol"", ""step7_experiment_label_ko"": ""초이 프로토콜 22 assay ADMET(Tanimoto) 병합 후 PASS/WARNING 기준 Top15"", ""step7_final_rank"": ""1"", ""target"": ""TOP1"", ""target_pathway"": ""DNA replication"", ""tier_20260428_colon_v2"": ""Tier2"", ""tier_rationale_20260428_colon_v2"": ""Approved outside CRC and under CRC study (indication expansion)"", ""tpsa"": ""104.89"", ""verdict"": ""PASS"", ""y_true_mean"": ""1.2513804""}"
admet_aa8ba498a81a64a9,cand_aa8ba498a81a64a9,Colon,2048,7.25,PASS,Candidate,,,,"{""DRUG_NAME"": ""Vinorelbine"", ""TARGET"": ""Microtubule destabiliser"", ""TARGET_PATHWAY"": ""Mitosis"", ""admet_category"": ""Candidate"", ""admet_coverage"": ""0.4545454545454545"", ""canonical_drug_id"": ""2048"", ""crc_clinical_tier"": ""2"", ""crc_clinical_tier_label_ko"": ""대장암 외 암종 승인, 대장암 적응증 확장·연구 중인 약물"", ""crc_tier_evidence_source"": ""ensemble:step6_tier_20260428_colon_v2"", ""drug_name"": ""Vinorelbine"", ""drug_name_norm"": ""vinorelbine"", ""hba"": ""11"", ""hbd"": ""2"", ""logp"": ""4.75"", ""mw"": ""778.95"", ""n_analog"": ""4"", ""n_cell_lines"": ""34"", ""n_close_analog"": ""0"", ""n_exact"": ""6"", ""n_total_matches"": ""10"", ""pains_alert"": ""False"", ""pred_ic50_max"": ""1.06243229498815"", ""pred_ic50_mean"": ""-1.6594675574451558"", ""pred_ic50_mean_admet"": ""-1.6594675574451558"", ""pred_ic50_min"": ""-2.7013098666115463"", ""pred_ic50_std"": ""0.8887211268890233"", ""rank"": ""4"", ""rank_20260428_colon_v2"": ""4"", ""rank_admet"": ""4"", ""rotatable_bonds"": ""7"", ""safety_score"": ""7.25"", ""smiles"": ""CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2"", ""step7_experiment_id"": ""colon_v2_step7_admet22assay_choi_protocol"", ""step7_experiment_label_ko"": ""초이 프로토콜 22 assay ADMET(Tanimoto) 병합 후 PASS/WARNING 기준 Top15"", ""step7_final_rank"": ""2"", ""target"": ""Microtubule destabiliser"", ""target_pathway"": ""Mitosis"", ""tier_20260428_colon_v2"": ""Tier2"", ""tier_rationale_20260428_colon_v2"": ""Approved outside CRC and under CRC study (indication expansion)"", ""tpsa"": ""133.87"", ""verdict"": ""PASS"", ""y_true_mean"": ""-2.8993995""}"
