canonical_drug_id,pred_label_regression,drug_name,label_regression,representative_ic50_nM,target_support_count,max_phase,pred_rank
CHEMBL1789941,-10.216455725039843,RUXOLITINIB,-10.231991619508165,0.036,2,4.0,1
CHEMBL1873475,-9.418252496718923,IBRUTINIB,-9.433483923290392,0.08,1,4.0,2
CHEMBL4297674,-9.302300431211034,BRANEBRUTINIB,-9.315700887634009,0.09,1,2.0,3
CHEMBL4594420,-9.198370250167342,LUXEPTINIB,-9.210340371976182,0.1,1,1.0,4
CHEMBL388978,-9.058477874123051,STAUROSPORINE,-9.070578429601024,0.115,3,0.0,5
CHEMBL1231124,-8.504513788646575,AZD-1480,-8.517193191416238,0.2,2,2.0,6
CHEMBL4303389,-8.206818101739767,NS-018,-8.2170885989659,0.27,2,2.0,7
CHEMBL3936761,-8.100159464581433,ZANUBRUTINIB,-8.111728083308073,0.3,1,4.0,8
CHEMBL4209441,-7.839176544750863,SOFNOBRUTINIB,-7.849363818840582,0.39,1,2.0,9
CHEMBL4756476,-7.8390946563827155,NEMTABRUTINIB,-7.849363818840582,0.39,1,3.0,10
CHEMBL4297865,-7.817776089303954,ABIVERTINIB,-7.826549141074411,0.399,3,3.0,11
CHEMBL4066193,-7.813585897873911,ATINVICITINIB,-7.824046010856292,0.4,1,2.0,12
CHEMBL3900554,-7.79088432634465,BMS-986142,-7.799353398265921,0.41,2,2.0,13
CHEMBL5077961,-7.6758784415225,MILREBRUTINIB,-7.6842840684811335,0.46,1,2.0,14
CHEMBL221959,-7.598612599078529,TOFACITINIB,-7.608934631239347,0.496,2,4.0,15
CHEMBL3301625,-7.591544927148323,SPEBRUTINIB,-7.600902459542082,0.5,2,2.0,16
CHEMBL4447181,-7.515245119746767,LONDAMOCITINIB,-7.523941418405954,0.54,2,2.0,17
CHEMBL3989927,-7.426956846299141,IBERDOMIDE,-7.435388021064509,0.59,1,3.0,18
CHEMBL4650323,-7.255564417302033,TOLEBRUTINIB,-7.264430222920869,0.7,1,3.0,19
CHEMBL2105759,-7.255274528328755,BARICITINIB,-7.264430222920869,0.7,2,4.0,20
CHEMBL1287853,-7.188723388119824,FEDRATINIB,-7.195437351433918,0.75,2,4.0,21
CHEMBL3622821,-7.123211851349526,UPADACITINIB,-7.1308988302963465,0.8,2,4.0,22
CHEMBL603469,-7.005166953559763,LESTAURTINIB,-7.013115794639964,0.9,2,3.0,23
CHEMBL4483575,-6.901974679253805,REMIBRUTINIB,-6.907755278982137,1.0,1,3.0,24
CHEMBL4163691,-6.901515560259714,POSELTINIB,-6.907755278982137,1.0,1,2.0,25
CHEMBL495727,-6.900753230062867,AT-9283,-6.907755278982137,1.0,2,2.0,26
CHEMBL3786343,-6.90059903258228,OLMUTINIB,-6.907755278982137,1.0,1,4.0,27
CHEMBL191003,-6.899331331559431,JNJ-7706621,-6.907755278982137,1.0,1,0.0,28
CHEMBL2035187,-6.8985421159602955,PACRITINIB,-6.907755278982137,1.0,2,4.0,29
CHEMBL4298138,-6.8619837255092655,REPOTRECTINIB,-6.868534565828855,1.04,1,4.0,30
CHEMBL3545215,-6.807628730171184,BMS-911543,-6.812445099177812,1.1,2,2.0,31
CHEMBL4297640,-6.804879442938279,VECABRUTINIB,-6.812445099177812,1.1,1,2.0,32
CHEMBL4065122,-6.718769318299932,FENEBRUTINIB,-6.725433722188183,1.2,1,3.0,33
CHEMBL5416410,-6.640016171440794,DASATINIB,-6.645391014514646,1.3,1,4.0,34
CHEMBL3702854,-6.63720826769201,RILZABRUTINIB,-6.645391014514646,1.3,1,3.0,35
CHEMBL4650321,-6.43215789340125,ORELABRUTINIB,-6.437751649736401,1.6,1,3.0,36
CHEMBL1078178,-6.431735135153565,MOMELOTINIB,-6.437751649736401,1.6,2,4.0,37
CHEMBL4114766,-6.316021827673725,ATUZABRUTINIB,-6.319968614080018,1.8,1,2.0,38
CHEMBL4072833,-6.297932693492746,EVOBRUTINIB,-6.303439312128807,1.83,1,3.0,39
CHEMBL3622820,-6.208938147159218,ITACITINIB,-6.214608098422191,2.0,2,3.0,40
CHEMBL4582651,-6.208693865211709,PRALSETINIB,-6.214608098422191,2.0,1,4.0,41
CHEMBL5095398,-6.208280324849227,IVARMACITINIB,-6.214608098422191,2.0,2,3.0,42
