canonical_drug_id,mean_y_pred,mean_y_true,std_y_pred,n_pairs,pred_top5_rate,pred_top10_rate,pred_top20_rate,final_selection_score,drug_name,canonical_smiles,has_smiles,putative_target,pathway_name,drug__target_list,final_rank,rdkit_valid_smiles,mol_weight,logp,tpsa,hbd,hba,rot_bonds,pains_alert_count,lipinski_violations,admet_ames_nearest_y,admet_ames_nearest_similarity,admet_ames_good_flag,admet_dili_nearest_y,admet_dili_nearest_similarity,admet_dili_good_flag,admet_herg_nearest_y,admet_herg_nearest_similarity,admet_herg_good_flag,admet_hia_hou_nearest_y,admet_hia_hou_nearest_similarity,admet_hia_hou_good_flag,admet_bioavailability_ma_nearest_y,admet_bioavailability_ma_nearest_similarity,admet_bioavailability_ma_good_flag,admet_pgp_broccatelli_nearest_y,admet_pgp_broccatelli_nearest_similarity,admet_pgp_broccatelli_good_flag,admet_caco2_wang_nearest_y,admet_caco2_wang_nearest_similarity,admet_caco2_wang_good_flag,admet_half_life_obach_nearest_y,admet_half_life_obach_nearest_similarity,admet_half_life_obach_good_flag,admet_solubility_aqsoldb_nearest_y,admet_solubility_aqsoldb_nearest_similarity,admet_solubility_aqsoldb_good_flag,admet_lipophilicity_astrazeneca_nearest_y,admet_lipophilicity_astrazeneca_nearest_similarity,admet_lipophilicity_astrazeneca_good_flag,admet_clearance_hepatocyte_az_nearest_y,admet_clearance_hepatocyte_az_nearest_similarity,admet_clearance_hepatocyte_az_good_flag,admet_clearance_microsome_az_nearest_y,admet_clearance_microsome_az_nearest_similarity,admet_clearance_microsome_az_good_flag,admet_vdss_lombardo_nearest_y,admet_vdss_lombardo_nearest_similarity,admet_vdss_lombardo_good_flag,admet_ppbr_az_nearest_y,admet_ppbr_az_nearest_similarity,admet_ppbr_az_good_flag,admet_ld50_zhu_nearest_y,admet_ld50_zhu_nearest_similarity,admet_ld50_zhu_good_flag,admet_cyp2c9_veith_nearest_y,admet_cyp2c9_veith_nearest_similarity,admet_cyp2c9_veith_good_flag,admet_cyp2d6_veith_nearest_y,admet_cyp2d6_veith_nearest_similarity,admet_cyp2d6_veith_good_flag,admet_cyp3a4_veith_nearest_y,admet_cyp3a4_veith_nearest_similarity,admet_cyp3a4_veith_good_flag,admet_cyp2c9_substrate_carbonmangels_nearest_y,admet_cyp2c9_substrate_carbonmangels_nearest_similarity,admet_cyp2c9_substrate_carbonmangels_good_flag,admet_cyp2d6_substrate_carbonmangels_nearest_y,admet_cyp2d6_substrate_carbonmangels_nearest_similarity,admet_cyp2d6_substrate_carbonmangels_good_flag,admet_cyp3a4_substrate_carbonmangels_nearest_y,admet_cyp3a4_substrate_carbonmangels_nearest_similarity,admet_cyp3a4_substrate_carbonmangels_good_flag,admet_bbb_martins_nearest_y,admet_bbb_martins_nearest_similarity,admet_bbb_martins_good_flag,admet_strict_pass,admet_good_signal_count,admet_adjusted_score,admet_filtered_rank
1003,-0.58240384,-1.5085741,0.8380957,18,0.2222222222222222,0.7777777777777778,1.0,0.9789115646258504,Camptothecin,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,1,TOP1,DNA replication,,7,1,348.35800000000006,2.0796,81.42,1,5,1,0,0,1.0,0.24324324324324326,0,0.0,0.6571428571428571,0,0.0,0.4594594594594595,0,1.0,0.20388349514563106,0,1.0,0.6571428571428571,0,0.0,1.0,1,-4.1100001000000015,1.0,1,6.7,0.5189873417721519,0,-3.72,0.28378378378378377,0,0.31,0.6571428571428571,0,3.24,0.6571428571428571,0,25.12,0.6086956521739131,0,2.2,0.7619047619047619,0,90.52,0.6086956521739131,0,1.794,0.28378378378378377,0,0.0,0.6911764705882353,0,0.0,0.6911764705882353,0,0.0,0.6911764705882353,0,0.0,0.47191011235955055,0,0.0,0.47191011235955055,0,1.0,0.47191011235955055,0,1.0,0.6571428571428571,0,True,2,0.9789115646258504,1
1918,-0.07241699,3.176578,0.8164145,18,0.1111111111111111,0.4444444444444444,1.0,0.9671768707482992,AZD8186,C[C@@H](Nc1cc(F)cc(F)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,1,"PI3Kalpha, PI3Kbeta",PI3K/MTOR signaling,,10,1,457.4770000000003,3.782700000000003,75.02000000000001,1,6,5,0,0,1.0,0.19230769230769232,0,1.0,0.18681318681318682,0,1.0,0.22580645161290322,0,1.0,0.27380952380952384,0,1.0,0.27380952380952384,0,0.0,0.21951219512195122,0,-4.6788902000000006,0.27380952380952384,0,4.5,0.27380952380952384,0,-5.16,0.3291139240506329,0,3.0,0.36363636363636365,0,87.1,0.36363636363636365,0,3.0,0.28735632183908044,0,0.58,0.27380952380952384,0,93.67,0.3181818181818182,0,3.738,0.225,0,0.0,0.352112676056338,0,0.0,0.3076923076923077,0,0.0,0.3076923076923077,0,0.0,0.27380952380952384,0,0.0,0.27380952380952384,0,0.0,0.27380952380952384,0,1.0,0.225,0,True,0,0.9671768707482992,2
1170,-0.14512895,3.429064,0.5584848,4,0.0,0.25,1.0,0.917687074829932,CCT-018159,CCC1=C(O)C=C(O)C(=C1)C1=C(C(C)=NN1)C1=CC2=C(OCCO2)C=C1,1,HSP90,Protein stability and degradation,,14,1,352.3900000000001,3.7969200000000027,87.60000000000001,3,5,3,0,0,0.0,0.23076923076923078,0,1.0,0.22666666666666666,0,1.0,0.21176470588235294,0,1.0,0.2318840579710145,0,1.0,0.19480519480519481,0,0.0,0.2328767123287671,0,-5.4699998,0.24390243902439024,0,11.0,0.2375,0,-0.6,0.2542372881355932,0,3.5,0.30303030303030304,0,41.69,0.25287356321839083,0,44.67,0.25757575757575757,0,7.9,0.225,0,95.53,0.21428571428571427,0,2.41,0.28846153846153844,0,0.0,0.2982456140350877,0,0.0,0.3076923076923077,0,0.0,0.2982456140350877,0,0.0,0.2153846153846154,0,1.0,0.19480519480519481,0,0.0,0.2153846153846154,0,1.0,0.22058823529411764,0,True,0,0.917687074829932,3
2359,0.32470965,6.4769025,0.8756529,14,0.0,0.0714285714285714,0.9285714285714286,0.9006802721088436,GSK2830371,CC1=C(C=C(C=N1)Cl)NCC2=CC=C(S2)C(=O)NC(CC3CCCC3)C(=O)NC4CC4,1,WIP1,Other,,16,1,461.03100000000035,4.674320000000003,83.12,3,5,9,0,0,0.0,0.22666666666666666,0,1.0,0.20454545454545456,0,0.0,0.22,0,1.0,0.23655913978494625,0,1.0,0.23655913978494625,0,0.0,0.21739130434782608,0,-4.3517655999999985,0.3,0,3.3,0.23655913978494625,0,-2.319,0.23684210526315788,0,3.36,0.27906976744186046,0,35.48,0.26136363636363635,0,3.0,0.27906976744186046,0,1.67,0.2391304347826087,0,91.1,0.27906976744186046,0,3.159,0.25,0,1.0,0.2765957446808511,0,0.0,0.3103448275862069,0,1.0,0.3103448275862069,0,1.0,0.23655913978494625,0,0.0,0.23655913978494625,0,0.0,0.23655913978494625,0,1.0,0.22448979591836735,0,True,0,0.9006802721088436,4
1494,0.51843435,-2.5715032,0.85074466,18,0.0,0.1111111111111111,0.8333333333333334,0.8969387755102042,SN-38,CCC1=C2C=C(O)C=CC2=NC2=C1CN1C2=CC2=C(COC(=O)[C@]2(O)CC)C1=O,1,TOP1,DNA replication,,17,1,392.4110000000002,2.3476,101.65,2,6,2,0,0,1.0,0.23595505617977527,0,0.0,0.6575342465753424,0,0.0,0.2988505747126437,0,1.0,0.20253164556962025,0,1.0,0.6575342465753424,0,0.0,0.6086956521739131,0,-4.1100001000000015,0.6086956521739131,0,9.0,0.6385542168674698,0,-2.106,0.2465753424657534,0,1.6,1.0,1,23.99,1.0,0,25.12,1.0,0,0.47,0.7761194029850746,0,90.52,1.0,0,1.781,0.21686746987951808,0,0.0,0.6486486486486487,0,0.0,0.6486486486486487,0,0.0,0.6486486486486487,0,0.0,0.6385542168674698,0,0.0,0.6385542168674698,0,1.0,0.6385542168674698,0,1.0,0.6575342465753424,0,True,1,0.8969387755102042,5
1004,-0.35737053,-2.7413785,1.0634686,14,0.0714285714285714,0.9285714285714286,1.0,0.9761904761904764,Vinblastine,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,1,Microtubule destabiliser,Mitosis,,8,1,810.9889999999998,3.9909000000000034,154.10000000000002,3,12,7,0,2,0.0,0.23529411764705882,0,1.0,0.19491525423728814,0,0.0,0.208,0,1.0,0.20491803278688525,0,1.0,0.7387387387387387,1,0.0,0.2711864406779661,0,-5.48,1.0,0,67.0,1.0,1,-1.3269,0.2396694214876033,0,3.1,0.23684210526315788,0,64.57,0.19008264462809918,0,112.0,0.184,0,28.0,1.0,0,95.53,0.20155038759689922,0,2.47,0.24793388429752067,0,0.0,0.883495145631068,1,0.0,1.0,1,0.0,0.2711864406779661,0,0.0,1.0,0,0.0,1.0,0,1.0,1.0,0,1.0,1.0,0,True,4,0.8961904761904764,6
1088,0.40765727,3.3167453,1.039369,18,0.0,0.1111111111111111,0.7777777777777778,0.8967687074829932,Irinotecan,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,1,TOP1,DNA replication,,18,1,586.6890000000004,4.0911000000000035,114.2,1,8,4,0,1,0.0,0.211864406779661,0,0.0,0.5161290322580645,0,0.0,0.25471698113207547,0,1.0,0.1926605504587156,0,0.0,1.0,0,0.0,0.47191011235955055,0,-4.1100001000000015,0.47191011235955055,0,9.0,1.0,1,-2.106,0.23333333333333334,0,1.6,0.6385542168674698,0,3.0,1.0,0,13.49,1.0,0,3.5,0.8352941176470589,0,57.99,1.0,0,2.123,0.23595505617977527,0,0.0,0.5106382978723404,0,0.0,0.5106382978723404,0,0.0,0.5106382978723404,0,0.0,1.0,0,0.0,1.0,0,1.0,1.0,0,1.0,0.5161290322580645,0,True,1,0.8567687074829932,7
1862,0.6352768,-1.33323,0.71351016,18,0.0,0.0,0.7777777777777778,0.795748299319728,MG-132,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,1,"Proteasome, CAPN1",Protein stability and degradation,,20,1,475.6300000000002,3.5882000000000014,113.60000000000001,3,5,14,0,0,0.0,0.4032258064516129,0,1.0,0.32857142857142857,0,1.0,0.26595744680851063,0,1.0,0.2857142857142857,0,1.0,0.2857142857142857,0,0.0,0.2571428571428571,0,-5.2142239,0.4727272727272727,0,12.0,0.2549019607843137,0,-3.74,0.43103448275862066,0,2.6,0.43636363636363634,0,91.0,0.25757575757575757,0,3.0,0.28125,0,0.13,0.34615384615384615,0,81.01,0.49019607843137253,0,1.796,0.425531914893617,0,0.0,0.7843137254901961,1,0.0,0.6037735849056604,0,1.0,0.7843137254901961,0,1.0,0.32857142857142857,0,1.0,0.32857142857142857,0,1.0,0.32857142857142857,0,1.0,0.328125,0,True,1,0.795748299319728,8
1401,0.6286097,3.014682,0.757005,12,0.0,0.0,0.6666666666666666,0.795578231292517,AZD5438,Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C,1,CDK2,Cell cycle,,21,1,371.4660000000001,3.376520000000002,89.77000000000001,1,6,5,0,0,0.0,0.2549019607843137,0,1.0,0.203125,0,0.0,0.2,0,1.0,0.27586206896551724,0,1.0,0.27586206896551724,0,0.0,0.29508196721311475,0,-5.3899999,0.27586206896551724,0,26.0,0.2727272727272727,0,-1.27,0.3142857142857143,0,3.37,0.7636363636363637,1,53.7,0.313953488372093,0,3.0,0.43103448275862066,0,1.5,0.2727272727272727,0,74.25,0.379746835443038,0,1.866,0.2698412698412698,0,0.0,0.3,0,0.0,0.3,0,0.0,0.3,0,0.0,0.29508196721311475,0,0.0,0.29508196721311475,0,0.0,0.29508196721311475,0,1.0,0.23728813559322035,0,True,1,0.795578231292517,9
1034,0.7636665,-2.9224744,1.0465046,18,0.0,0.0,0.6111111111111112,0.7918367346938776,Staurosporine,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1,Broad spectrum kinase inhibitor,RTK signaling,,22,1,466.5410000000003,4.354000000000003,69.45,2,4,2,0,0,1.0,0.24444444444444444,0,1.0,0.16666666666666666,0,1.0,0.1978021978021978,0,1.0,0.2,0,1.0,0.20833333333333334,0,0.0,0.21875,0,-4.729893700000001,0.20833333333333334,0,790.0,0.726027397260274,1,-3.96,0.20212765957446807,0,1.29,0.2,0,6.0,0.19387755102040816,0,6.46,0.1978021978021978,0,0.15,0.5555555555555556,0,48.27,0.2,0,2.47,0.21875,0,1.0,0.21839080459770116,0,0.0,0.23684210526315788,0,0.0,0.23684210526315788,0,1.0,0.18604651162790697,0,1.0,0.1978021978021978,0,1.0,0.1978021978021978,0,0.0,0.20833333333333334,0,True,1,0.7918367346938776,10
