cluster,cluster_label,n_patients,dominant_drivers,biology_hypothesis,canonical_drug_id,drug_name,admet_filtered_rank,crc_4tier,crc_4tier_rationale,target,target_pathway,admet_verdict,admet_adjusted_score,final_selection_score,admet_good_signal_count,safety_score,prior_image_modal_matched,match_score,matched_keywords,driver_overlap,hypothesis,classification_status
0,MSI/MMR-enriched CRC-like cluster,9,TP53;APC;KRAS,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1031,Elesclomol,13,Tier3,provisional_biology_supported_research_candidate_needs_verification,HSP90,Protein stability and degradation,PASS,0.795748299319728,0.795748299319728,0,,False,4,tier3/admet/driver:TP53,TP53,Elesclomol may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier3/admet/driver:TP53.,provisional_im4c_remap_needs_current_regulatory_verification
0,MSI/MMR-enriched CRC-like cluster,9,TP53;APC;KRAS,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1059,AZD8055,14,Tier3,provisional_biology_supported_research_candidate_needs_verification,"MTORC1, MTORC2",PI3K/MTOR signaling,PASS,0.7928571428571429,0.7928571428571429,1,,False,3,tier3/admet/pathway,,AZD8055 may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier3/admet/pathway.,provisional_im4c_remap_needs_current_regulatory_verification
0,MSI/MMR-enriched CRC-like cluster,9,TP53;APC;KRAS,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",2047,Ulixertinib,15,Tier3,provisional_research_candidate_by_crc_relevant_target_or_pathway,"ERK1, ERK2",ERK MAPK signaling,PASS,0.7845238095238096,0.7845238095238096,0,,False,6,tier3/admet/driver:KRAS/pathway/cluster_context,KRAS,Ulixertinib may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier3/admet/driver:KRAS/pathway/cluster_context.,provisional_im4c_remap_needs_current_regulatory_verification
1,MSI/MMR-enriched CRC-like cluster,121,APC;TP53;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1862,MG-132,1,Tier3,provisional_biology_supported_research_candidate_needs_verification,"Proteasome, CAPN1",Protein stability and degradation,PASS,0.9860544217687076,0.9860544217687076,1,,False,5,tier3/admet/driver:TP53/pathway,TP53,MG-132 may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier3/admet/driver:TP53/pathway.,provisional_im4c_remap_needs_current_regulatory_verification
1,MSI/MMR-enriched CRC-like cluster,121,APC;TP53;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1060,PD0325901,2,Tier2,carried_forward_from_existing_coad_4tier_protocol_prior,"MEK1, MEK2",ERK MAPK signaling,PASS,0.960374149659864,0.960374149659864,0,5.0,True,6,tier2/admet/driver:KRAS/pathway/cluster_context,KRAS,PD0325901 may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier2/admet/driver:KRAS/pathway/cluster_context.,protocol_prior_needs_current_regulatory_verification
1,MSI/MMR-enriched CRC-like cluster,121,APC;TP53;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1088,Irinotecan,3,Tier1,carried_forward_from_existing_coad_4tier_protocol_prior,TOP1,DNA replication,PASS,0.9470748299319728,0.9870748299319728,1,6.4,True,8,tier1/admet/driver:TP53/pathway/cluster_context,TP53,Irinotecan may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier1/admet/driver:TP53/pathway/cluster_context.,protocol_prior_needs_current_regulatory_verification
1,MSI/MMR-enriched CRC-like cluster,121,APC;TP53;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1086,BI-2536,4,Tier4,insufficient_existing_coad_image_modal_or_protocol_tier_evidence,"PLK1, PLK2, PLK3",Cell cycle,PASS,0.9412925170068028,0.9812925170068028,1,,False,1,admet,,BI-2536 may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via admet.,provisional_im4c_remap_needs_current_regulatory_verification
1,MSI/MMR-enriched CRC-like cluster,121,APC;TP53;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1170,CCT-018159,5,Tier3,provisional_biology_supported_research_candidate_needs_verification,HSP90,Protein stability and degradation,PASS,0.9253401360544218,0.9253401360544218,0,,False,4,tier3/admet/driver:TP53,TP53,CCT-018159 may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier3/admet/driver:TP53.,provisional_im4c_remap_needs_current_regulatory_verification
1,MSI/MMR-enriched CRC-like cluster,121,APC;TP53;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1239,YK-4-279,6,Tier4,insufficient_existing_coad_image_modal_or_protocol_tier_evidence,RNA helicase A,Other,PASS,0.9071428571428573,0.9071428571428573,0,,False,1,admet,,YK-4-279 may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via admet.,provisional_im4c_remap_needs_current_regulatory_verification
1,MSI/MMR-enriched CRC-like cluster,121,APC;TP53;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1072,Avagacestat,7,Tier4,insufficient_existing_coad_image_modal_or_protocol_tier_evidence,"Amyloid beta20, Amyloid beta40",Other,PASS,0.8873809523809524,0.9273809523809524,0,,False,1,admet,,Avagacestat may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via admet.,provisional_im4c_remap_needs_current_regulatory_verification
1,MSI/MMR-enriched CRC-like cluster,121,APC;TP53;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1372,Trametinib,8,Tier2,carried_forward_from_existing_coad_4tier_protocol_prior,"MEK1, MEK2",ERK MAPK signaling,PASS,0.8724149659863946,0.9124149659863946,0,5.15,True,6,tier2/admet/driver:KRAS/pathway/cluster_context,KRAS,Trametinib may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier2/admet/driver:KRAS/pathway/cluster_context.,protocol_prior_needs_current_regulatory_verification
1,MSI/MMR-enriched CRC-like cluster,121,APC;TP53;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1816,Fulvestrant,9,Tier4,insufficient_existing_coad_image_modal_or_protocol_tier_evidence,ESR,Hormone-related,PASS,0.8545238095238097,0.9345238095238096,1,,False,1,admet,,Fulvestrant may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via admet.,provisional_im4c_remap_needs_current_regulatory_verification
1,MSI/MMR-enriched CRC-like cluster,121,APC;TP53;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1845,Schweinfurthin A,10,Tier4,insufficient_existing_coad_image_modal_or_protocol_tier_evidence,,Unclassified,PASS,0.8189795918367349,0.8989795918367348,0,,False,1,admet,,Schweinfurthin A may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via admet.,provisional_im4c_remap_needs_current_regulatory_verification
1,MSI/MMR-enriched CRC-like cluster,121,APC;TP53;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",2055,Mycophenolic acid,11,Tier4,insufficient_existing_coad_image_modal_or_protocol_tier_evidence,,Unclassified,PASS,0.8120748299319727,0.8120748299319727,0,,False,1,admet,,Mycophenolic acid may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via admet.,provisional_im4c_remap_needs_current_regulatory_verification
1,MSI/MMR-enriched CRC-like cluster,121,APC;TP53;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1190,Gemcitabine,12,Tier3,provisional_research_candidate_by_crc_relevant_target_or_pathway,Pyrimidine antimetabolite,DNA replication,PASS,0.8020408163265307,0.8020408163265307,0,,False,5,tier3/admet/driver:TP53/cluster_context,TP53,Gemcitabine may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier3/admet/driver:TP53/cluster_context.,provisional_im4c_remap_needs_current_regulatory_verification
1,MSI/MMR-enriched CRC-like cluster,121,APC;TP53;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1031,Elesclomol,13,Tier3,provisional_biology_supported_research_candidate_needs_verification,HSP90,Protein stability and degradation,PASS,0.795748299319728,0.795748299319728,0,,False,4,tier3/admet/driver:TP53,TP53,Elesclomol may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier3/admet/driver:TP53.,provisional_im4c_remap_needs_current_regulatory_verification
1,MSI/MMR-enriched CRC-like cluster,121,APC;TP53;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1059,AZD8055,14,Tier3,provisional_biology_supported_research_candidate_needs_verification,"MTORC1, MTORC2",PI3K/MTOR signaling,PASS,0.7928571428571429,0.7928571428571429,1,,False,5,tier3/admet/driver:PIK3CA/pathway,PIK3CA,AZD8055 may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier3/admet/driver:PIK3CA/pathway.,provisional_im4c_remap_needs_current_regulatory_verification
1,MSI/MMR-enriched CRC-like cluster,121,APC;TP53;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",2047,Ulixertinib,15,Tier3,provisional_research_candidate_by_crc_relevant_target_or_pathway,"ERK1, ERK2",ERK MAPK signaling,PASS,0.7845238095238096,0.7845238095238096,0,,False,6,tier3/admet/driver:KRAS/pathway/cluster_context,KRAS,Ulixertinib may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier3/admet/driver:KRAS/pathway/cluster_context.,provisional_im4c_remap_needs_current_regulatory_verification
2,MSI/MMR-enriched CRC-like cluster,88,APC;TP53;KRAS,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1862,MG-132,1,Tier3,provisional_biology_supported_research_candidate_needs_verification,"Proteasome, CAPN1",Protein stability and degradation,PASS,0.9860544217687076,0.9860544217687076,1,,False,5,tier3/admet/driver:TP53/pathway,TP53,MG-132 may fit cluster 2 (MSI/MMR-enriched CRC-like cluster) via tier3/admet/driver:TP53/pathway.,provisional_im4c_remap_needs_current_regulatory_verification
2,MSI/MMR-enriched CRC-like cluster,88,APC;TP53;KRAS,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1060,PD0325901,2,Tier2,carried_forward_from_existing_coad_4tier_protocol_prior,"MEK1, MEK2",ERK MAPK signaling,PASS,0.960374149659864,0.960374149659864,0,5.0,True,6,tier2/admet/driver:KRAS/pathway/cluster_context,KRAS,PD0325901 may fit cluster 2 (MSI/MMR-enriched CRC-like cluster) via tier2/admet/driver:KRAS/pathway/cluster_context.,protocol_prior_needs_current_regulatory_verification
2,MSI/MMR-enriched CRC-like cluster,88,APC;TP53;KRAS,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1088,Irinotecan,3,Tier1,carried_forward_from_existing_coad_4tier_protocol_prior,TOP1,DNA replication,PASS,0.9470748299319728,0.9870748299319728,1,6.4,True,8,tier1/admet/driver:TP53/pathway/cluster_context,TP53,Irinotecan may fit cluster 2 (MSI/MMR-enriched CRC-like cluster) via tier1/admet/driver:TP53/pathway/cluster_context.,protocol_prior_needs_current_regulatory_verification
2,MSI/MMR-enriched CRC-like cluster,88,APC;TP53;KRAS,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1086,BI-2536,4,Tier4,insufficient_existing_coad_image_modal_or_protocol_tier_evidence,"PLK1, PLK2, PLK3",Cell cycle,PASS,0.9412925170068028,0.9812925170068028,1,,False,1,admet,,BI-2536 may fit cluster 2 (MSI/MMR-enriched CRC-like cluster) via admet.,provisional_im4c_remap_needs_current_regulatory_verification
2,MSI/MMR-enriched CRC-like cluster,88,APC;TP53;KRAS,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1170,CCT-018159,5,Tier3,provisional_biology_supported_research_candidate_needs_verification,HSP90,Protein stability and degradation,PASS,0.9253401360544218,0.9253401360544218,0,,False,4,tier3/admet/driver:TP53,TP53,CCT-018159 may fit cluster 2 (MSI/MMR-enriched CRC-like cluster) via tier3/admet/driver:TP53.,provisional_im4c_remap_needs_current_regulatory_verification
2,MSI/MMR-enriched CRC-like cluster,88,APC;TP53;KRAS,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1239,YK-4-279,6,Tier4,insufficient_existing_coad_image_modal_or_protocol_tier_evidence,RNA helicase A,Other,PASS,0.9071428571428573,0.9071428571428573,0,,False,1,admet,,YK-4-279 may fit cluster 2 (MSI/MMR-enriched CRC-like cluster) via admet.,provisional_im4c_remap_needs_current_regulatory_verification
2,MSI/MMR-enriched CRC-like cluster,88,APC;TP53;KRAS,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1072,Avagacestat,7,Tier4,insufficient_existing_coad_image_modal_or_protocol_tier_evidence,"Amyloid beta20, Amyloid beta40",Other,PASS,0.8873809523809524,0.9273809523809524,0,,False,1,admet,,Avagacestat may fit cluster 2 (MSI/MMR-enriched CRC-like cluster) via admet.,provisional_im4c_remap_needs_current_regulatory_verification
2,MSI/MMR-enriched CRC-like cluster,88,APC;TP53;KRAS,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1372,Trametinib,8,Tier2,carried_forward_from_existing_coad_4tier_protocol_prior,"MEK1, MEK2",ERK MAPK signaling,PASS,0.8724149659863946,0.9124149659863946,0,5.15,True,6,tier2/admet/driver:KRAS/pathway/cluster_context,KRAS,Trametinib may fit cluster 2 (MSI/MMR-enriched CRC-like cluster) via tier2/admet/driver:KRAS/pathway/cluster_context.,protocol_prior_needs_current_regulatory_verification
2,MSI/MMR-enriched CRC-like cluster,88,APC;TP53;KRAS,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1816,Fulvestrant,9,Tier4,insufficient_existing_coad_image_modal_or_protocol_tier_evidence,ESR,Hormone-related,PASS,0.8545238095238097,0.9345238095238096,1,,False,1,admet,,Fulvestrant may fit cluster 2 (MSI/MMR-enriched CRC-like cluster) via admet.,provisional_im4c_remap_needs_current_regulatory_verification
2,MSI/MMR-enriched CRC-like cluster,88,APC;TP53;KRAS,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1845,Schweinfurthin A,10,Tier4,insufficient_existing_coad_image_modal_or_protocol_tier_evidence,,Unclassified,PASS,0.8189795918367349,0.8989795918367348,0,,False,1,admet,,Schweinfurthin A may fit cluster 2 (MSI/MMR-enriched CRC-like cluster) via admet.,provisional_im4c_remap_needs_current_regulatory_verification
2,MSI/MMR-enriched CRC-like cluster,88,APC;TP53;KRAS,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",2055,Mycophenolic acid,11,Tier4,insufficient_existing_coad_image_modal_or_protocol_tier_evidence,,Unclassified,PASS,0.8120748299319727,0.8120748299319727,0,,False,1,admet,,Mycophenolic acid may fit cluster 2 (MSI/MMR-enriched CRC-like cluster) via admet.,provisional_im4c_remap_needs_current_regulatory_verification
2,MSI/MMR-enriched CRC-like cluster,88,APC;TP53;KRAS,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1190,Gemcitabine,12,Tier3,provisional_research_candidate_by_crc_relevant_target_or_pathway,Pyrimidine antimetabolite,DNA replication,PASS,0.8020408163265307,0.8020408163265307,0,,False,5,tier3/admet/driver:TP53/cluster_context,TP53,Gemcitabine may fit cluster 2 (MSI/MMR-enriched CRC-like cluster) via tier3/admet/driver:TP53/cluster_context.,provisional_im4c_remap_needs_current_regulatory_verification
2,MSI/MMR-enriched CRC-like cluster,88,APC;TP53;KRAS,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1031,Elesclomol,13,Tier3,provisional_biology_supported_research_candidate_needs_verification,HSP90,Protein stability and degradation,PASS,0.795748299319728,0.795748299319728,0,,False,4,tier3/admet/driver:TP53,TP53,Elesclomol may fit cluster 2 (MSI/MMR-enriched CRC-like cluster) via tier3/admet/driver:TP53.,provisional_im4c_remap_needs_current_regulatory_verification
2,MSI/MMR-enriched CRC-like cluster,88,APC;TP53;KRAS,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1059,AZD8055,14,Tier3,provisional_biology_supported_research_candidate_needs_verification,"MTORC1, MTORC2",PI3K/MTOR signaling,PASS,0.7928571428571429,0.7928571428571429,1,,False,3,tier3/admet/pathway,,AZD8055 may fit cluster 2 (MSI/MMR-enriched CRC-like cluster) via tier3/admet/pathway.,provisional_im4c_remap_needs_current_regulatory_verification
2,MSI/MMR-enriched CRC-like cluster,88,APC;TP53;KRAS,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",2047,Ulixertinib,15,Tier3,provisional_research_candidate_by_crc_relevant_target_or_pathway,"ERK1, ERK2",ERK MAPK signaling,PASS,0.7845238095238096,0.7845238095238096,0,,False,6,tier3/admet/driver:KRAS/pathway/cluster_context,KRAS,Ulixertinib may fit cluster 2 (MSI/MMR-enriched CRC-like cluster) via tier3/admet/driver:KRAS/pathway/cluster_context.,provisional_im4c_remap_needs_current_regulatory_verification
3,MSI/MMR-enriched CRC-like cluster,7,TP53;APC;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1862,MG-132,1,Tier3,provisional_biology_supported_research_candidate_needs_verification,"Proteasome, CAPN1",Protein stability and degradation,PASS,0.9860544217687076,0.9860544217687076,1,,False,5,tier3/admet/driver:TP53/pathway,TP53,MG-132 may fit cluster 3 (MSI/MMR-enriched CRC-like cluster) via tier3/admet/driver:TP53/pathway.,provisional_im4c_remap_needs_current_regulatory_verification
3,MSI/MMR-enriched CRC-like cluster,7,TP53;APC;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1060,PD0325901,2,Tier2,carried_forward_from_existing_coad_4tier_protocol_prior,"MEK1, MEK2",ERK MAPK signaling,PASS,0.960374149659864,0.960374149659864,0,5.0,True,6,tier2/admet/driver:KRAS/pathway/cluster_context,KRAS,PD0325901 may fit cluster 3 (MSI/MMR-enriched CRC-like cluster) via tier2/admet/driver:KRAS/pathway/cluster_context.,protocol_prior_needs_current_regulatory_verification
3,MSI/MMR-enriched CRC-like cluster,7,TP53;APC;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1088,Irinotecan,3,Tier1,carried_forward_from_existing_coad_4tier_protocol_prior,TOP1,DNA replication,PASS,0.9470748299319728,0.9870748299319728,1,6.4,True,8,tier1/admet/driver:TP53/pathway/cluster_context,TP53,Irinotecan may fit cluster 3 (MSI/MMR-enriched CRC-like cluster) via tier1/admet/driver:TP53/pathway/cluster_context.,protocol_prior_needs_current_regulatory_verification
3,MSI/MMR-enriched CRC-like cluster,7,TP53;APC;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1086,BI-2536,4,Tier4,insufficient_existing_coad_image_modal_or_protocol_tier_evidence,"PLK1, PLK2, PLK3",Cell cycle,PASS,0.9412925170068028,0.9812925170068028,1,,False,1,admet,,BI-2536 may fit cluster 3 (MSI/MMR-enriched CRC-like cluster) via admet.,provisional_im4c_remap_needs_current_regulatory_verification
3,MSI/MMR-enriched CRC-like cluster,7,TP53;APC;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1170,CCT-018159,5,Tier3,provisional_biology_supported_research_candidate_needs_verification,HSP90,Protein stability and degradation,PASS,0.9253401360544218,0.9253401360544218,0,,False,4,tier3/admet/driver:TP53,TP53,CCT-018159 may fit cluster 3 (MSI/MMR-enriched CRC-like cluster) via tier3/admet/driver:TP53.,provisional_im4c_remap_needs_current_regulatory_verification
3,MSI/MMR-enriched CRC-like cluster,7,TP53;APC;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1239,YK-4-279,6,Tier4,insufficient_existing_coad_image_modal_or_protocol_tier_evidence,RNA helicase A,Other,PASS,0.9071428571428573,0.9071428571428573,0,,False,1,admet,,YK-4-279 may fit cluster 3 (MSI/MMR-enriched CRC-like cluster) via admet.,provisional_im4c_remap_needs_current_regulatory_verification
3,MSI/MMR-enriched CRC-like cluster,7,TP53;APC;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1072,Avagacestat,7,Tier4,insufficient_existing_coad_image_modal_or_protocol_tier_evidence,"Amyloid beta20, Amyloid beta40",Other,PASS,0.8873809523809524,0.9273809523809524,0,,False,1,admet,,Avagacestat may fit cluster 3 (MSI/MMR-enriched CRC-like cluster) via admet.,provisional_im4c_remap_needs_current_regulatory_verification
3,MSI/MMR-enriched CRC-like cluster,7,TP53;APC;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1372,Trametinib,8,Tier2,carried_forward_from_existing_coad_4tier_protocol_prior,"MEK1, MEK2",ERK MAPK signaling,PASS,0.8724149659863946,0.9124149659863946,0,5.15,True,6,tier2/admet/driver:KRAS/pathway/cluster_context,KRAS,Trametinib may fit cluster 3 (MSI/MMR-enriched CRC-like cluster) via tier2/admet/driver:KRAS/pathway/cluster_context.,protocol_prior_needs_current_regulatory_verification
3,MSI/MMR-enriched CRC-like cluster,7,TP53;APC;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",1816,Fulvestrant,9,Tier4,insufficient_existing_coad_image_modal_or_protocol_tier_evidence,ESR,Hormone-related,PASS,0.8545238095238097,0.9345238095238096,1,,False,1,admet,,Fulvestrant may fit cluster 3 (MSI/MMR-enriched CRC-like cluster) via admet.,provisional_im4c_remap_needs_current_regulatory_verification
